name,predicted dHm / kJ mol-1
Y6,36.52030563354492
ITIC,37.906715393066406
IT-4f,37.90930938720703
Y7,37.52541732788086
BTP-eC9,37.52541732788086
IT-M,37.584266662597656
DTY6,61.61162567138672
IEICO-4F,44.46424102783203
o-IDTBR,38.36900329589844
IT-Th,32.800384521484375
L8-BO,36.52030563354492
BTP-4F-12,40.9505729675293
ITIC-4Cl,38.494102478027344
COTIC-4F,36.52030563354492
COTIC-4Cl,37.52541732788086
6TIC,37.584266662597656
N3-Y6N3,37.52541732788086
L8-BO-2F,38.49077224731445
IDT-2Br,38.36900329589844
EH-IDTBR,35.8796501159668
FBR,41.674747467041016
IO-4Cl,37.906715393066406
IDCI-4F,38.88460159301758
IDIC-4Cl,38.494102478027344
IDIC,37.54430389404297
IT-2M,38.494102478027344
ZY-4Cl,38.89780044555664
TPT10,36.52030563354492
BTP-4Cl-12,38.89780044555664
eC9-2Cl,38.10734176635742
TPT10-C8C12,49.50348663330078
IHIC,33.80229187011719
IEICO-4Cl,44.171939849853516
